source_row,费用类型,审核时看什么,费控需要提供的接口,规则标准,员工端显示报错问题,制度索引,问题分类,优化后具体问题说明,优化动作分类,优化后建议,rule_key,reason_code,audit_content,data_dependency,rule_condition,reason_code_source,policiesIndex,problem_category,message,optimization_action_category,employeeSuggestionTips
12,差旅费-城市间交通费-其他大交通（轮船、客车）,检查轮船、客车的票据日期与核销单中差旅行程日期是否一致,新增 自购轮船/汽车合计金额 字段,"发票票种、发票行程日期、核销单中行程日期、商旅平台计算标准待定
限制对发票票种为1-012客运车票、RJ-004轮船票属于轮船、客车票进行检查
提取票据通行日期与核销单中自购大交通费用-飞机、火车、巴士、轮船的类型为【轮船/巴士】的日期+1天一致，两边日期格式可能不一样
如果不在日期区间就要驳回；如果在日期区间则通过。",E20（自购费用）发票日期与差旅日期不匹配,"《锐捷网络员工费用管理与报销制度》
 5.2票据使用规范
 所有费用报销须提供真实、合法、合规的票据。",行程日期不符,轮船/客车票 发票号 {发票号} 的票据日期 {票据日期} 与差旅行程日期 {行程日期} 不匹配。,【核对行程】【换开发票】,请上传本次差旅行程对应日期的票据；若非本次差旅票据，请提供本次差旅行程产生的票据。,travel_r12_检查轮船_客车的票据日期与核销单中差旅行程日期是否一致,E20-5,检查轮船、客车的票据日期与核销单中差旅行程日期是否一致,新增 自购轮船/汽车合计金额 字段,"发票票种、发票行程日期、核销单中行程日期、商旅平台计算标准待定
限制对发票票种为1-012客运车票、RJ-004轮船票属于轮船、客车票进行检查
提取票据通行日期与核销单中自购大交通费用-飞机、火车、巴士、轮船的类型为【轮船/巴士】的日期+1天一致，两边日期格式可能不一样
如果不在日期区间就要驳回；如果在日期区间则通过。",E20（自购费用）发票日期与差旅日期不匹配,"《锐捷网络员工费用管理与报销制度》
 5.2票据使用规范
 所有费用报销须提供真实、合法、合规的票据。",行程日期不符,轮船/客车票 发票号 {发票号} 的票据日期 {票据日期} 与差旅行程日期 {行程日期} 不匹配。,【核对行程】【换开发票】,请上传本次差旅行程对应日期的票据；若非本次差旅票据，请提供本次差旅行程产生的票据。
13,差旅费-城市间交通费-其他大交通（轮船、客车）,检查其他大交通（轮船、客车）发票金额是否充足,查询核销单信息接口,检查核销单中子类型金额是否超过发票金额，核销单中自购大交通费用-飞机、火车、巴士、轮船的类型为【轮船/巴士】的合计金额≤自购票据金额（根据发票票种为1-012客运车票、RJ-004轮船票）,E31-2 其他大交通（轮船、客车）表单发票金额不足,"《锐捷网络员工费用管理与报销制度》
 5.2票据使用规范
 所有费用报销须提供真实、合法、合规的票据。",金额不足,轮船/客车费用填报金额为 {填报金额} 元，高于有效票据金额 {票据金额} 元。,【补充发票】【调减金额】,请补充轮船/客车票据，或将填报金额调减至有效票据金额以内。,travel_r13_检查其他大交通_轮船_客车_发票金额是否充足,E31-2,检查其他大交通（轮船、客车）发票金额是否充足,查询核销单信息接口,检查核销单中子类型金额是否超过发票金额，核销单中自购大交通费用-飞机、火车、巴士、轮船的类型为【轮船/巴士】的合计金额≤自购票据金额（根据发票票种为1-012客运车票、RJ-004轮船票）,E31-2 其他大交通（轮船、客车）表单发票金额不足,"《锐捷网络员工费用管理与报销制度》
 5.2票据使用规范
 所有费用报销须提供真实、合法、合规的票据。",金额不足,轮船/客车费用填报金额为 {填报金额} 元，高于有效票据金额 {票据金额} 元。,【补充发票】【调减金额】,请补充轮船/客车票据，或将填报金额调减至有效票据金额以内。
14,差旅费-城市间交通费-火车,检查是否代他人核销差旅费,"新增 差旅申请系统行程信息
自购和月结拆两条",使用发票票种为RJ-015火车票、RJ-010数电铁路，发票旅客姓名必须与核销单中核销人姓名一致,E29-2 火车费 票面旅客姓名与表单核销人姓名不一致,"《锐捷网络员工费用管理与报销制度》
 5.2票据使用规范
 所有费用报销须提供真实、合法、合规的票据。",非本人票据,火车票 发票号 {发票号} 的旅客姓名为 {旅客姓名}，与核销人 {核销人姓名} 不一致。,【换开发票】,请删除该票据，并上传本人真实出行对应的交通票据。,travel_r14_检查是否代他人核销差旅费,E29-2,检查是否代他人核销差旅费,"新增 差旅申请系统行程信息
自购和月结拆两条",使用发票票种为RJ-015火车票、RJ-010数电铁路，发票旅客姓名必须与核销单中核销人姓名一致,E29-2 火车费 票面旅客姓名与表单核销人姓名不一致,"《锐捷网络员工费用管理与报销制度》
 5.2票据使用规范
 所有费用报销须提供真实、合法、合规的票据。",非本人票据,火车票 发票号 {发票号} 的旅客姓名为 {旅客姓名}，与核销人 {核销人姓名} 不一致。,【换开发票】,请删除该票据，并上传本人真实出行对应的交通票据。
15,差旅费-城市间交通费-火车,检查自购/月结火车票的票据行程与核销单中差旅行程日期是否一致,,"发票票种、发票内容“自...至...”、核销单中出发地、核销单中目的地
商旅平台计算补助标准待定，同飞机
发票行程日期、核销单中行程日期
限制使用发票票种为RJ-015火车票、RJ-010数电铁路
提取机票起飞时间与核销单中自购大交通费用-飞机、火车、巴士、轮船的类型为【火车】的日期±1天一致，两边日期格式可能不一样（火车票退票费日期≥差旅日期）
如果不在日期区间就要驳回；如果在日期区间则通过。",E20-3 火车费（自购费用）发票日期与差旅日期不匹配,"《锐捷网络员工费用管理与报销制度》
 5.2票据使用规范
 所有费用报销须提供真实、合法、合规的票据。",行程日期不符,火车票 发票号 {发票号} 的票据日期 {票据日期} 与差旅行程日期 {行程日期} 不匹配。,【核对行程】【换开发票】,请确认火车票是否属于本次差旅。若非本次差旅票据，请提供本次差旅行程产生的票据。,travel_r15_检查自购_月结火车票的票据行程与核销单中差旅行程日期是否一致,E20-3,检查自购/月结火车票的票据行程与核销单中差旅行程日期是否一致,,"发票票种、发票内容“自...至...”、核销单中出发地、核销单中目的地
商旅平台计算补助标准待定，同飞机
发票行程日期、核销单中行程日期
限制使用发票票种为RJ-015火车票、RJ-010数电铁路
提取机票起飞时间与核销单中自购大交通费用-飞机、火车、巴士、轮船的类型为【火车】的日期±1天一致，两边日期格式可能不一样（火车票退票费日期≥差旅日期）
如果不在日期区间就要驳回；如果在日期区间则通过。",E20-3 火车费（自购费用）发票日期与差旅日期不匹配,"《锐捷网络员工费用管理与报销制度》
 5.2票据使用规范
 所有费用报销须提供真实、合法、合规的票据。",行程日期不符,火车票 发票号 {发票号} 的票据日期 {票据日期} 与差旅行程日期 {行程日期} 不匹配。,【核对行程】【换开发票】,请确认火车票是否属于本次差旅。若非本次差旅票据，请提供本次差旅行程产生的票据。
16,差旅费-城市间交通费-火车,检查是否为二等座及以下,新增 差旅平台预算信息,"火车票仓位等级
①火车票仓位等级允许乘坐二等座、二等卧、动卧、硬座、软座、硬卧、软卧、二等软卧、无座则通过；
②火车票仓位等级如为商务座、特等座、一等座、高级软卧、一等卧，或未列举座次，则按照二等座金额报销",E32 自购火车票仓位不允许报销高级/商务/特等/一等座位,"《锐捷网络员工费用管理与报销制度》
 4.3.2.1 允许报销：普通硬座、软座、二等座、硬卧、软卧、二等软座；动车二等座、二等卧、动卧；高铁二等座；城际二等座、二等卧。",座席超标,火车票座席等级为“{座席等级}”，不在二等座及以下等允许范围内，需按制度标准核定可报销金额。,【调减金额】,请按二等座金额标准填报费用；,travel_r16_检查是否为二等座及以下,E32,检查是否为二等座及以下,新增 差旅平台预算信息,"火车票仓位等级
①火车票仓位等级允许乘坐二等座、二等卧、动卧、硬座、软座、硬卧、软卧、二等软卧、无座则通过；
②火车票仓位等级如为商务座、特等座、一等座、高级软卧、一等卧，或未列举座次，则按照二等座金额报销",E32 自购火车票仓位不允许报销高级/商务/特等/一等座位,"《锐捷网络员工费用管理与报销制度》
 4.3.2.1 允许报销：普通硬座、软座、二等座、硬卧、软卧、二等软座；动车二等座、二等卧、动卧；高铁二等座；城际二等座、二等卧。",座席超标,火车票座席等级为“{座席等级}”，不在二等座及以下等允许范围内，需按制度标准核定可报销金额。,【调减金额】,请按二等座金额标准填报费用；
17,差旅费-城市间交通费-火车,检查火车票发票金额是否充足,"缺少 商旅平台月结订单-出发日期和到达日期、差旅申请行程-出发日期和到达日期
- 自购和月结拆成2条","发票金额、核销单中自购大交通费用-飞机、火车、巴士、轮船的类型为【火车】的合计金额、金额合理性上限检查标准-差旅申请单计划行程
（1）检查核销单中金额合理性，
若为仓位为二等座以下且行程一致，则不再做金额上限检查，实报实销；若不属于上述情况，则做金额上限检查，超过仓位等级按照二等座金额报销（取值方法：按照AI搜索当天日期同班次的二等座价格作为核销上限②以去程的不含服务费的公司承担机票金额为上限；如含多段行程的，以最高行程的机票金额为上限）
另外，如何确定是差旅申请单中的计划行程？使用排除法，计划内行程已有月结发票，剩余即为计划行程）
（2）检查核销单中火车子类型金额是否超过发票金额，核销单中自购大交通费用-飞机、火车、巴士、轮船的类型为【火车】的合计金额≤自购火车票金额",E31-3 火车票表单发票金额不足,"《锐捷网络员工费用管理与报销制度》
 4.3差旅费报销标准及费用项目范围",金额不足,自购火车票填报金额为 {填报金额} 元，高于有效火车票金额 {票据金额} 元或制度核定上限 {核定上限} 元。,【补充发票】【调减金额】,请补充对应火车票，或将填报金额调减至有效票据金额及制度核定上限以内。,travel_r17_检查火车票发票金额是否充足,E31-3,检查火车票发票金额是否充足,"缺少 商旅平台月结订单-出发日期和到达日期、差旅申请行程-出发日期和到达日期
- 自购和月结拆成2条","发票金额、核销单中自购大交通费用-飞机、火车、巴士、轮船的类型为【火车】的合计金额、金额合理性上限检查标准-差旅申请单计划行程
（1）检查核销单中金额合理性，
若为仓位为二等座以下且行程一致，则不再做金额上限检查，实报实销；若不属于上述情况，则做金额上限检查，超过仓位等级按照二等座金额报销（取值方法：按照AI搜索当天日期同班次的二等座价格作为核销上限②以去程的不含服务费的公司承担机票金额为上限；如含多段行程的，以最高行程的机票金额为上限）
另外，如何确定是差旅申请单中的计划行程？使用排除法，计划内行程已有月结发票，剩余即为计划行程）
（2）检查核销单中火车子类型金额是否超过发票金额，核销单中自购大交通费用-飞机、火车、巴士、轮船的类型为【火车】的合计金额≤自购火车票金额",E31-3 火车票表单发票金额不足,"《锐捷网络员工费用管理与报销制度》
 4.3差旅费报销标准及费用项目范围",金额不足,自购火车票填报金额为 {填报金额} 元，高于有效火车票金额 {票据金额} 元或制度核定上限 {核定上限} 元。,【补充发票】【调减金额】,请补充对应火车票，或将填报金额调减至有效票据金额及制度核定上限以内。
18,差旅费-城市间交通费-火车,检查是否自行报销月结火车票,新增 细分疫苗检查费等分类,"发票票种、发票识别信息“车次”“乘车时间”、核销单自购大交通费用-飞机/火车/巴士/轮船明细
 发票票种：RJ-010数电铁路属于自购火车票。
 若发票识别信息“车次”“乘车时间”与自购大交通费用中类型为“火车”的“行程日期”“班次”一致，则判定为员工自行报销月结火车票风险。",新增 E33 改为 E41自行报销月结火车票,"《锐捷网络差旅管理制度V13》第六条 交通工具选择
3.选择火车出行注意事项
3.2服务商按月统一提供火车票发票,员工无需取票,凭身份证进站即可。",月结票据重复报销,票据 发票号 {发票号} 的票种为 RJ-010数电铁路，识别车次 {车次}、乘车时间 {乘车时间} 与自购大交通火车行程日期 {行程日期}、班次 {班次} 一致，为自行报销月结火车票。,【删除发票】,该火车票已由公司月结结算，请删除该票据,travel_r18_检查是否自行报销月结火车票,E41,检查是否自行报销月结火车票,新增 细分疫苗检查费等分类,"发票票种、发票识别信息“车次”“乘车时间”、核销单自购大交通费用-飞机/火车/巴士/轮船明细
 发票票种：RJ-010数电铁路属于自购火车票。
 若发票识别信息“车次”“乘车时间”与自购大交通费用中类型为“火车”的“行程日期”“班次”一致，则判定为员工自行报销月结火车票风险。",新增 E33 改为 E41自行报销月结火车票,"《锐捷网络差旅管理制度V13》第六条 交通工具选择
3.选择火车出行注意事项
3.2服务商按月统一提供火车票发票,员工无需取票,凭身份证进站即可。",月结票据重复报销,票据 发票号 {发票号} 的票种为 RJ-010数电铁路，识别车次 {车次}、乘车时间 {乘车时间} 与自购大交通火车行程日期 {行程日期}、班次 {班次} 一致，为自行报销月结火车票。,【删除发票】,该火车票已由公司月结结算，请删除该票据
19,差旅费-城市间交通费-飞机,检查自购/月结机票的票据行程与核销单中差旅行程日期是否一致,新增 细分网络电话卡等分类,"发票票种、商旅平台月结订单-出发日期和到达日期、差旅申请行程-出发日期和到达日期
限制对发票票种为1-011飞机票、RJ-011数电航空进行检查
会后补充规则@魏祎
提取①本趟行程的月结机票/火车票的最小的出发日期=差旅行程的最小的出发日期；②本趟行程的月结机票/火车票的最大的到达日期=差旅行程的最大的到达日期
机票起飞时间与核销单中自购大交通费用-飞机、火车、巴士、轮船的类型为【飞机】的日期±1天一致，两边日期格式可能不一样。
如果不在日期区间就要驳回；如果在日期区间则通过。",E20-4 飞机费（自购费用）发票日期与差旅日期不匹配,"《锐捷网络员工费用管理与报销制度》
 5.2票据使用规范
 所有费用报销须提供真实、合法、合规的票据。",行程日期不符,机票出发/到达日期 {航班日期} 与差旅行程日期 {行程起止日期} 不匹配，超出允许衔接范围。,【核对行程】【换开发票】,请确认机票是否属于本次差旅。若非本次差旅票据，请提供本次差旅行程产生的票据。,travel_r19_检查自购_月结机票的票据行程与核销单中差旅行程日期是否一致,E20-4,检查自购/月结机票的票据行程与核销单中差旅行程日期是否一致,新增 细分网络电话卡等分类,"发票票种、商旅平台月结订单-出发日期和到达日期、差旅申请行程-出发日期和到达日期
限制对发票票种为1-011飞机票、RJ-011数电航空进行检查
会后补充规则@魏祎
提取①本趟行程的月结机票/火车票的最小的出发日期=差旅行程的最小的出发日期；②本趟行程的月结机票/火车票的最大的到达日期=差旅行程的最大的到达日期
机票起飞时间与核销单中自购大交通费用-飞机、火车、巴士、轮船的类型为【飞机】的日期±1天一致，两边日期格式可能不一样。
如果不在日期区间就要驳回；如果在日期区间则通过。",E20-4 飞机费（自购费用）发票日期与差旅日期不匹配,"《锐捷网络员工费用管理与报销制度》
 5.2票据使用规范
 所有费用报销须提供真实、合法、合规的票据。",行程日期不符,机票出发/到达日期 {航班日期} 与差旅行程日期 {行程起止日期} 不匹配，超出允许衔接范围。,【核对行程】【换开发票】,请确认机票是否属于本次差旅。若非本次差旅票据，请提供本次差旅行程产生的票据。
20,差旅费-差旅其他-疫苗检查费,检查发票金额与报销金额是否一致（疫苗检查费的发票金额是否充足）,新增 细分退改签分类,疫苗检查费的发票金额合计≥核销单中填写的疫苗检查费的核销金额,E31-4 疫苗检查费表单发票金额不足,"《锐捷网络员工费用管理与报销制度》
 5.2票据使用规范
 所有费用报销须提供真实、合法、合规的票据。",金额不足,本次疫苗检查费申报金额为 {申报金额} 元，有效疫苗/检疫类票据金额为 {发票总金额} 元，票据金额不足。,【补充发票】【调减金额】,请补充上传遗漏的疫苗、检疫类费用票据，或调减申报金额至有效票据金额以内。,travel_r20_检查发票金额与报销金额是否一致_疫苗检查费的发票金额是否充足,E31-4,检查发票金额与报销金额是否一致（疫苗检查费的发票金额是否充足）,新增 细分退改签分类,疫苗检查费的发票金额合计≥核销单中填写的疫苗检查费的核销金额,E31-4 疫苗检查费表单发票金额不足,"《锐捷网络员工费用管理与报销制度》
 5.2票据使用规范
 所有费用报销须提供真实、合法、合规的票据。",金额不足,本次疫苗检查费申报金额为 {申报金额} 元，有效疫苗/检疫类票据金额为 {发票总金额} 元，票据金额不足。,【补充发票】【调减金额】,请补充上传遗漏的疫苗、检疫类费用票据，或调减申报金额至有效票据金额以内。
21,差旅费-差旅其他-网络电话卡费,检查发票金额与报销金额是否一致（网络电话费的发票金额是否充足）,新增 商旅平台-月结飞机航司数据（航司全称）,网络电话费的发票金额合计≥核销单中填写的网络电话费的核销金额,E31-5 网络电话卡费表单发票金额不足,"《锐捷网络员工费用管理与报销制度》
 5.2票据使用规范
 所有费用报销须提供真实、合法、合规的票据。",金额不足,本次网络电话卡费申报金额为 {申报金额} 元，有效网络电话卡票据金额为 {发票总金额} 元，票据金额不足。,【补充发票】【调减金额】,请补充上传遗漏的网络电话卡费用票据，或调减申报金额至有效票据金额以内。,travel_r21_检查发票金额与报销金额是否一致_网络电话费的发票金额是否充足,E31-5,检查发票金额与报销金额是否一致（网络电话费的发票金额是否充足）,新增 商旅平台-月结飞机航司数据（航司全称）,网络电话费的发票金额合计≥核销单中填写的网络电话费的核销金额,E31-5 网络电话卡费表单发票金额不足,"《锐捷网络员工费用管理与报销制度》
 5.2票据使用规范
 所有费用报销须提供真实、合法、合规的票据。",金额不足,本次网络电话卡费申报金额为 {申报金额} 元，有效网络电话卡票据金额为 {发票总金额} 元，票据金额不足。,【补充发票】【调减金额】,请补充上传遗漏的网络电话卡费用票据，或调减申报金额至有效票据金额以内。
22,差旅费-差旅其他-退改签,检查自购发票金额与报销金额是否一致（退改签的发票金额是否充足）,新增 差旅申请系统-行程信息,仅限自购校验，退改签费的发票金额合计≥核销单中填写的退改签费的核销金额,E31-6 退改签费表单发票金额不足,"《锐捷网络员工费用管理与报销制度》
 5.2票据使用规范
 所有费用报销须提供真实、合法、合规的票据。",金额不足,本次退改签费申报金额为 {申报金额} 元，有效退改签票据金额为 {发票总金额} 元，票据金额不足。,【补充发票】【调减金额】,请补充上传遗漏的退改签费用票据，或调减申报金额至有效票据金额以内。,travel_r22_检查自购发票金额与报销金额是否一致_退改签的发票金额是否充足,E31-6,检查自购发票金额与报销金额是否一致（退改签的发票金额是否充足）,新增 差旅申请系统-行程信息,仅限自购校验，退改签费的发票金额合计≥核销单中填写的退改签费的核销金额,E31-6 退改签费表单发票金额不足,"《锐捷网络员工费用管理与报销制度》
 5.2票据使用规范
 所有费用报销须提供真实、合法、合规的票据。",金额不足,本次退改签费申报金额为 {申报金额} 元，有效退改签票据金额为 {发票总金额} 元，票据金额不足。,【补充发票】【调减金额】,请补充上传遗漏的退改签费用票据，或调减申报金额至有效票据金额以内。
23,差旅费-差旅其他-行李托运费,检查托运航司与飞机航班航司一致,,发票销货方名称与核销单中航班号对应的航司是否一致（仅限于月结）,W37 托运航司与飞机航班航司不一致,"《锐捷网络员工费用管理与报销制度》
 5.2票据使用规范
 所有费用报销须提供真实、合法、合规的票据。",航司不符,行李托运费发票 发票号 {发票号} 的销货方 {销货方名称} 与本次航班承运航司 {航司名称} 不一致。,【换开发票】【补充说明】,请上传与本次航班航司一致的托运费票据；如确属联运或特殊托运，请补充说明后提交复核。,travel_r23_检查托运航司与飞机航班航司一致,W37,检查托运航司与飞机航班航司一致,,发票销货方名称与核销单中航班号对应的航司是否一致（仅限于月结）,W37 托运航司与飞机航班航司不一致,"《锐捷网络员工费用管理与报销制度》
 5.2票据使用规范
 所有费用报销须提供真实、合法、合规的票据。",航司不符,行李托运费发票 发票号 {发票号} 的销货方 {销货方名称} 与本次航班承运航司 {航司名称} 不一致。,【换开发票】【补充说明】,请上传与本次航班航司一致的托运费票据；如确属联运或特殊托运，请补充说明后提交复核。
24,差旅费-差旅其他-行李托运费,检查行李托运日期 发票日期与飞机起飞日期一致,新增 细分行李托运费等分类,发票开具日期在差旅行程起程日期之后,W35 托运行李费发票开具日期在差旅行程起程日期之后,"《锐捷网络员工费用管理与报销制度》
 5.2票据使用规范
 所有费用报销须提供真实、合法、合规的票据。",行程日期不符,行李托运费发票 发票号 {发票号} 的开票日期 {开票日期} 与飞机起飞日期 {起飞日期} 不匹配。,【换开发票】【补充说明】,请上传与本次航班日期匹配的托运费发票；如日期差异有合理原因，请补充说明后提交复核。,travel_r24_检查行李托运日期_发票日期与飞机起飞日期一致,W35,检查行李托运日期 发票日期与飞机起飞日期一致,新增 细分行李托运费等分类,发票开具日期在差旅行程起程日期之后,W35 托运行李费发票开具日期在差旅行程起程日期之后,"《锐捷网络员工费用管理与报销制度》
 5.2票据使用规范
 所有费用报销须提供真实、合法、合规的票据。",行程日期不符,行李托运费发票 发票号 {发票号} 的开票日期 {开票日期} 与飞机起飞日期 {起飞日期} 不匹配。,【换开发票】【补充说明】,请上传与本次航班日期匹配的托运费发票；如日期差异有合理原因，请补充说明后提交复核。
25,差旅费-差旅其他-行李托运费,检查行李重量是否低于80公斤,,检查发票字段 数量≤80，标准为超出80的部分不允许报销，只有小于等于80，再乘以发票字段 行李单价，才是允许报销的金额,W38 行李重量超过80公斤,"《锐捷网络员工费用管理与报销制度》
 4.3差旅费报销标准及费用项目范围",行李重量超标,行李托运费发票 发票号 {发票号} 的行李重量为 {行李重量} 公斤，超过 80 公斤标准。,【调减金额】【财务复核】,请按80公斤以内的可报销金额调整；超过80公斤部分费用不予核销。,travel_r25_检查行李重量是否低于80公斤,W38,检查行李重量是否低于80公斤,,检查发票字段 数量≤80，标准为超出80的部分不允许报销，只有小于等于80，再乘以发票字段 行李单价，才是允许报销的金额,W38 行李重量超过80公斤,"《锐捷网络员工费用管理与报销制度》
 4.3差旅费报销标准及费用项目范围",行李重量超标,行李托运费发票 发票号 {发票号} 的行李重量为 {行李重量} 公斤，超过 80 公斤标准。,【调减金额】【财务复核】,请按80公斤以内的可报销金额调整；超过80公斤部分费用不予核销。
26,差旅费-差旅其他-行李托运费,检查发票金额与报销金额是否一致（行李托运费的发票金额是否充足）,,行李托运费的发票金额合计≥核销单中填写的行李托运费的核销金额,E31-7 行李托运费表单发票金额不足,"《锐捷网络员工费用管理与报销制度》
 5.2票据使用规范
 所有费用报销须提供真实、合法、合规的票据。",金额不足,本次行李托运费申报金额为 {申报金额} 元，有效托运费票据金额为 {发票总金额} 元，票据金额不足。,【补充发票】【调减金额】,请补充上传遗漏的行李托运费票据，或调减申报金额至有效票据金额以内。,travel_r26_检查发票金额与报销金额是否一致_行李托运费的发票金额是否充足,E31-7,检查发票金额与报销金额是否一致（行李托运费的发票金额是否充足）,,行李托运费的发票金额合计≥核销单中填写的行李托运费的核销金额,E31-7 行李托运费表单发票金额不足,"《锐捷网络员工费用管理与报销制度》
 5.2票据使用规范
 所有费用报销须提供真实、合法、合规的票据。",金额不足,本次行李托运费申报金额为 {申报金额} 元，有效托运费票据金额为 {发票总金额} 元，票据金额不足。,【补充发票】【调减金额】,请补充上传遗漏的行李托运费票据，或调减申报金额至有效票据金额以内。
27,差旅费,检查发票内容是否含充值卡信息等,,"发票字段项目名称、费用制度禁止清单
发票内容含“预付卡销售”、“充值”、“预存”等字眼的驳回",E17 不允许使用充值卡发票,"《锐捷网络员工费用管理与报销制度》
 4.3差旅费报销标准及费用项目范围",充值消费,票据 发票号 {发票号} 的明细中包含“{命中内容}”，属于充值、预付或预存类内容，不符合差旅费报销要求。,【换开发票】,请删除该票据，并上传本次差旅实际发生的合规票据；不得使用充值卡、预付卡、预存类发票报销。,travel_r27_检查发票内容是否含充值卡信息等,E17,检查发票内容是否含充值卡信息等,,"发票字段项目名称、费用制度禁止清单
发票内容含“预付卡销售”、“充值”、“预存”等字眼的驳回",E17 不允许使用充值卡发票,"《锐捷网络员工费用管理与报销制度》
 4.3差旅费报销标准及费用项目范围",充值消费,票据 发票号 {发票号} 的明细中包含“{命中内容}”，属于充值、预付或预存类内容，不符合差旅费报销要求。,【换开发票】,请删除该票据，并上传本次差旅实际发生的合规票据；不得使用充值卡、预付卡、预存类发票报销。
28,差旅费,检查发票真伪,,"发票影像（含发票代码、发票号码、发票金额、开票日期等）、验真接口返回结果
根据发票六要素查验发票真伪（发票号码、发票代码）-已有金蝶（供应商）对接查询",sys-001 发票真伪查验,"《锐捷网络员工费用管理与报销制度》
 5.2票据使用规范
 所有费用报销须提供真实、合法、合规的票据。",发票验真异常,票据 发票号 {发票号} 的发票真伪查验未通过，暂不符合真实、合法、合规票据要求。,【稍后重试】【换开发票】,若为新开票据，请在开票 24 小时后重新上传或发起查验；若仍无法验真，请联系开票方处理或更换合规发票。,travel_r28_检查发票真伪,sys-001,检查发票真伪,,"发票影像（含发票代码、发票号码、发票金额、开票日期等）、验真接口返回结果
根据发票六要素查验发票真伪（发票号码、发票代码）-已有金蝶（供应商）对接查询",sys-001 发票真伪查验,"《锐捷网络员工费用管理与报销制度》
 5.2票据使用规范
 所有费用报销须提供真实、合法、合规的票据。",发票验真异常,票据 发票号 {发票号} 的发票真伪查验未通过，暂不符合真实、合法、合规票据要求。,【稍后重试】【换开发票】,若为新开票据，请在开票 24 小时后重新上传或发起查验；若仍无法验真，请联系开票方处理或更换合规发票。
29,差旅费,检查使用的发票销货方是否为公司已确认的虚开发票销售方税务局黑名单,,"发票字段销货方名称、黑名单库
费用系统黑名单企业名称与发票销货方企业名称校验，一致则驳回，不一致则通过",E09 公司已确认发票销货方为公司已确认或税务局虚开发票黑名单,"《锐捷网络员工费用管理与报销制度》
 5.2票据使用规范
 所有费用报销须提供真实、合法、合规的票据。",高风险销方,票据 发票号 {发票号} 的销货方“{销货方名称}”命中公司或税务高风险/黑名单企业。,【发票作废】【换开发票】,请联系销货方作废当前发票，并提供真实差旅业务对应的合规发票。,travel_r29_检查使用的发票销货方是否为公司已确认的虚开发票销售方税务局黑名单,E09,检查使用的发票销货方是否为公司已确认的虚开发票销售方税务局黑名单,,"发票字段销货方名称、黑名单库
费用系统黑名单企业名称与发票销货方企业名称校验，一致则驳回，不一致则通过",E09 公司已确认发票销货方为公司已确认或税务局虚开发票黑名单,"《锐捷网络员工费用管理与报销制度》
 5.2票据使用规范
 所有费用报销须提供真实、合法、合规的票据。",高风险销方,票据 发票号 {发票号} 的销货方“{销货方名称}”命中公司或税务高风险/黑名单企业。,【发票作废】【换开发票】,请联系销货方作废当前发票，并提供真实差旅业务对应的合规发票。
30,差旅费,检查使用的发票是否已被销售方作废,,"发票影像（含发票代码、发票号码、发票金额、开票日期等）、验真接口返回结果
根据发票六要素查验是否作废-已有金蝶（供应商）对接查询",sys-003 发票作废,"《锐捷网络员工费用管理与报销制度》
 5.2票据使用规范
 所有费用报销须提供真实、合法、合规的票据。",发票作废,票据 发票号 {发票号} 已被销货方作废，不能作为本次报销凭证。,【换开发票】,请联系销货方或在对应开票渠道重新开具有效发票后再提交。,travel_r30_检查使用的发票是否已被销售方作废,sys-003,检查使用的发票是否已被销售方作废,,"发票影像（含发票代码、发票号码、发票金额、开票日期等）、验真接口返回结果
根据发票六要素查验是否作废-已有金蝶（供应商）对接查询",sys-003 发票作废,"《锐捷网络员工费用管理与报销制度》
 5.2票据使用规范
 所有费用报销须提供真实、合法、合规的票据。",发票作废,票据 发票号 {发票号} 已被销货方作废，不能作为本次报销凭证。,【换开发票】,请联系销货方或在对应开票渠道重新开具有效发票后再提交。
31,差旅费,检查使用的发票已被销售方冲红,适用发票类型检查,"发票影像（含发票代码、发票号码、发票金额、开票日期等）、验真接口返回结果
根据发票六要素查验是否冲红-已有金蝶（供应商）对接查询",sys-004 发票红冲,"《锐捷网络员工费用管理与报销制度》
 5.2票据使用规范
 所有费用报销须提供真实、合法、合规的票据。",发票红冲,票据 发票号 {发票号} 已被销售方红冲，不能作为本次报销凭证。,【换开发票】,请联系销货方重新开具有效发票，并删除当前红冲票据。,travel_r31_检查使用的发票已被销售方冲红,sys-004,检查使用的发票已被销售方冲红,适用发票类型检查,"发票影像（含发票代码、发票号码、发票金额、开票日期等）、验真接口返回结果
根据发票六要素查验是否冲红-已有金蝶（供应商）对接查询",sys-004 发票红冲,"《锐捷网络员工费用管理与报销制度》
 5.2票据使用规范
 所有费用报销须提供真实、合法、合规的票据。",发票红冲,票据 发票号 {发票号} 已被销售方红冲，不能作为本次报销凭证。,【换开发票】,请联系销货方重新开具有效发票，并删除当前红冲票据。
